DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL label1

#dataset color (can be changed later)
COLOR #7fcdbb

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1 1 2 2
LEGEND_COLORS #ff0000 #00ff00 rgba(0,255,0,0.5) #0000ff
LEGEND_LABELS value1 value2 value3 value4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
STRIP_WIDTH 35

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)

GCF_000423825.1|Proteobacteria_Acidithiobacillia_Acidithiobacillales #ffed6f Endonuclease III
GCF_000465935.2|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_002286725.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_002091635.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000263395.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_002891015.1|Proteobacteria_Gammaproteobacteria_Pseudomonadales #ffed6f Endonuclease III
GCF_000820125.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_000819955.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001634325.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_002843345.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001908535.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001647435.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_000401555.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_900156325.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001535585.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001705905.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_001684435.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_002242685.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_000243075.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_000381965.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_002245495.1|Proteobacteria_Gammaproteobacteria_Aeromonadales #ffed6f Endonuclease III
GCF_002157755.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001650345.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001939735.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001655635.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000972145.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000425165.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002142615.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001707815.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000176795.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002218045.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002218005.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002157735.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001639065.2|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002214345.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002358135.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000733315.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002874415.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002873195.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002873335.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002872635.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000400265.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002849855.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002894965.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001679745.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000153505.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000024825.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001707995.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001728095.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000707185.2|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001728465.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001728505.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001727195.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001726915.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001609015.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001727975.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001727365.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001727465.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000830505.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001591145.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000017705.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000400325.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000818715.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002214395.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000818275.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000967545.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002811245.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000711795.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001591105.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001297935.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000772065.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000740665.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002742585.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001957165.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000808535.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000816475.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000189275.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001939725.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001939685.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_900162645.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_900163915.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001267945.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002241155.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001718015.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000287115.2|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000257205.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000798995.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001857515.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000305115.2|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001857165.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002284415.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002283835.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000176715.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001471395.2|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000736945.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000736775.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002284355.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002284265.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000736765.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002196155.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000237445.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001860465.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001281595.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000387705.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000174255.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001517855.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001254955.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000799015.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001418705.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002796765.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000931495.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001598835.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000176155.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000467125.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_000467185.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_001675945.1|Proteobacteria_Gammaproteobacteria_Vibrionales #ffed6f Endonuclease III
GCF_002093895.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000800945.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000196155.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001684335.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001010285.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002632825.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000330385.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000624595.2|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000280155.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000968895.2|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002895205.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002099965.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002514855.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000191015.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900195935.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002156555.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002517145.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001616345.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900195705.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002456615.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000713585.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002456735.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001637845.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000759835.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001463265.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900112055.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000809165.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001682915.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000958305.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001699035.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000710855.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001033615.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000567125.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900085095.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001455225.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900083755.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001723565.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002761975.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000276705.2|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002290285.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_001317245.2|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002853055.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002250015.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000814905.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000958895.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002510275.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002510255.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900100995.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_900119515.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_002003685.1|Bacteroidetes_Sphingobacteriia_Sphingobacteriales #ffed6f Endonuclease III
GCF_000759795.1|Proteobacteria_Gammaproteobacteria_Enterobacterales #ffed6f Endonuclease III
GCF_000287615.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000238795.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002002485.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002015115.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002015125.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000163475.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000973525.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001064415.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002850605.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000413135.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000973565.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002024005.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001929595.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000412035.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000412075.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002750755.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002900115.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000478235.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001998905.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001076115.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001298185.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001076835.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000165525.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001949855.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_900022485.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_900035535.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001276515.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001679135.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001008225.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001008275.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001999305.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001999285.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000545.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000425.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001998965.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000145.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000485.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000505.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002000435.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001998675.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001998725.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001998595.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001055095.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001949885.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001810545.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001058435.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001053575.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001059815.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
